outcome,chi2,p_value,cramers_v,significance,effect_size
Full-Time Winner,2372.1745065967043,1.0830609162559747e-77,0.4333827707894696,*** (Very Strong),Medium
Full-Time Away Win To Nil,1472.3790872021584,7.79938330104031e-74,0.48286212658083794,*** (Very Strong),Medium
Half-Time Away Win To Nil,1186.2364009791954,5.8058767474018185e-40,0.4334100183646831,*** (Very Strong),Medium
Half-Time Winner,1933.0761662376444,5.20644994950749e-36,0.39122158463567563,*** (Very Strong),Medium
Half-Time Home Win To Nil,793.8556617581207,3.8993789354027916e-07,0.3545553931370284,*** (Very Strong),Medium
Full-Time Home Win To Nil,774.7749167519056,3.76682955241265e-06,0.35026851293868766,*** (Very Strong),Medium
Full-Time Both Teams To Score,667.8792493713494,0.04099138719982763,0.32520880663524393,* (Significant),Medium
Half-Time Both Teams To Score,636.404398897231,0.18991136336120248,0.31745334602703096,Not Significant,Medium
