outcome,rmse,r2,baseline_rmse,improvement
Full-Time Score Difference,1.59638935030681,0.23557358602742728,1.8451537173625274,0.24876436705571736
Full-Time Home Goals,1.2178312852500492,0.1510099877697756,1.4322935336128335,0.21446224836278427
Half-Time Score Difference,1.1373046101487474,0.14136263684712924,1.231031855773335,0.09372724562458767
Full-Time Away Goals,1.0970545342978717,0.12126121289242497,1.2047017943464942,0.10764726004862246
Half-Time Home Goals,0.8400899153890129,0.09013803835884093,1.1244775332935855,0.28438761790457256
Half-Time Away Goals,0.764284627216716,0.07323725816600524,0.9976218753494592,0.23333724813274326
Full-Time Total Goals,1.6830848532499492,0.022921348788223495,1.8976169578618456,0.21453210461189642
Half-Time Total Goals,1.1350376806637634,0.013173056768834956,1.1821448092177251,0.04710712855396171
