outcome,accuracy,cv_accuracy,baseline,improvement
Full-Time Winner,0.5581947743467933,0.5426761678543152,0.4400633412509897,0.1181314330958036
Half-Time Winner,0.47268408551068886,0.45494853523357087,0.395249406175772,0.07743467933491688
Half-Time Both Teams To Score,0.7933491686460807,0.7931908155186065,0.7933491686460807,0.0
Full-Time Away Win To Nil,0.8416468725257323,0.8418052256532066,0.841963578780681,-0.0003167062549486177
Full-Time Home Win To Nil,0.7711797307996833,0.7699129057798891,0.773396674584323,-0.002216943784639769
Half-Time Away Win To Nil,0.7767220902612827,0.7784639746634996,0.779255740300871,-0.0025336500395882755
Half-Time Home Win To Nil,0.6983372921615202,0.7003958828186857,0.702929532858274,-0.004592240696753791
Full-Time Both Teams To Score,0.5439429928741093,0.5529691211401426,0.5512272367379256,-0.00728424386381632
