outcome,f_stat,p_value_anova,h_stat,p_value_kw,eta_squared,significance
Full-Time Score Difference,4.34669071746,2.7280338054741096e-191,1866.8056499500644,2.0617404996056566e-128,0.3157593756781268,*** (Very Strong)
Full-Time Away Goals,2.991951163943342,3.227798824873534e-98,1162.3054893233211,1.979952456735188e-37,0.24107072158006823,*** (Very Strong)
Half-Time Score Difference,2.755444102810573,1.2543584274389296e-82,1253.719507648178,2.205954055143001e-47,0.22632753992312923,*** (Very Strong)
Full-Time Home Goals,2.616771007987382,1.0979225214002341e-73,1411.1139347385233,4.311665300908232e-66,0.2174135875614221,*** (Very Strong)
Half-Time Away Goals,2.5143520370077153,3.374237020926404e-67,955.1444980996336,4.455596301355309e-18,0.2106970554717676,*** (Very Strong)
Half-Time Home Goals,1.6645586415920084,7.239921283391544e-20,975.4192885946094,9.691327204675152e-20,0.1501807661813307,*** (Very Strong)
Full-Time Total Goals,1.3745288927561627,1.780049954336686e-08,771.469817670687,5.482998823648362e-06,0.12734582306062728,*** (Very Strong)
Half-Time Total Goals,1.328353682321949,4.827735270216998e-07,717.0698084727762,0.0012112325539000532,0.12359657842082172,*** (Very Strong)
